 region                                  model                                                              sku   limit   used  available  unit
 swedencentral                       claude-haiku-4-5                       AIServices.GlobalStandard.claude-haiku-4-5    1000      0       1000 Count
 swedencentral                        claude-opus-4-1                        AIServices.GlobalStandard.claude-opus-4-1    1000      0       1000 Count
 swedencentral                           AccountCount                                                     AccountCount     200      3        197 Count
northcentralus              OpenAI.ProvisionedManaged                                        OpenAI.ProvisionedManaged       0      0          0 Count
northcentralus        OpenAI.GlobalProvisionedManaged                                  OpenAI.GlobalProvisionedManaged       0      0          0 Count
northcentralus                            Deployments                                     OpenAI.FineTuned.Deployments      10      0         10 Count
northcentralus                           AccountCount                                           OpenAI.S0.AccountCount      30      2         28 Count
northcentralus                                whisper                                          OpenAI.Standard.whisper       3      0          3 Count
northcentralus                                    tts                                              OpenAI.Standard.tts       3      0          3 Count
northcentralus                                 tts-hd                                           OpenAI.Standard.tts-hd       3      0          3 Count
northcentralus      OpenAI.DataZoneProvisionedManaged                                OpenAI.DataZoneProvisionedManaged       0      0          0 Count
northcentralus                           gpt-35-turbo                                     OpenAI.Standard.gpt-35-turbo      60      0         60 Count
northcentralus                  gpt-35-turbo-finetune                            OpenAI.Standard.gpt-35-turbo-finetune     500      0        500 Count
northcentralus             gpt-35-turbo-1106-finetune                       OpenAI.Standard.gpt-35-turbo-1106-finetune     500      0        500 Count
northcentralus             gpt-35-turbo-0125-finetune                       OpenAI.Standard.gpt-35-turbo-0125-finetune     500      0        500 Count
northcentralus                           gpt-35-turbo                                  OpenAI.GlobalBatch.gpt-35-turbo 1000000      0    1000000 Count
northcentralus                                  gpt-4                                            OpenAI.Standard.gpt-4      40      0         40 Count
northcentralus                            gpt-4-turbo                                      OpenAI.Standard.gpt-4-turbo      80      0         80 Count
northcentralus                  gpt-4-turbo-2024-0409                      OpenAI.GlobalStandard.gpt-4-turbo-2024-0409     450      0        450 Count
northcentralus                         gpt-4-finetune                                   OpenAI.Standard.gpt-4-finetune     100      0        100 Count
northcentralus                        gpt-4o-finetune                                  OpenAI.Standard.gpt-4o-finetune     250      0        250 Count
northcentralus                        gpt-4o-finetune                            OpenAI.GlobalStandard.gpt-4o-finetune     250      0        250 Count
northcentralus                   gpt-4o-mini-finetune                             OpenAI.Standard.gpt-4o-mini-finetune     500      0        500 Count
northcentralus                   gpt-4o-mini-finetune                       OpenAI.GlobalStandard.gpt-4o-mini-finetune     500      0        500 Count
northcentralus                                  gpt-4                                         OpenAI.GlobalBatch.gpt-4   30000      0      30000 Count
northcentralus                            gpt-4-turbo                                   OpenAI.GlobalBatch.gpt-4-turbo   80000      0      80000 Count
northcentralus                                 gpt-4o                                        OpenAI.GlobalBatch.gpt-4o  200000      0     200000 Count
northcentralus                            gpt-4o-mini                                   OpenAI.GlobalBatch.gpt-4o-mini 1000000      0    1000000 Count
northcentralus                   gpt-4o-audio-preview                          OpenAI.Provisioned.gpt-4o-audio-preview       0      0          0 Count
northcentralus                                 gpt-4o                                           OpenAI.Standard.gpt-4o     150      0        150 Count
northcentralus                            gpt-4o-mini                                      OpenAI.Standard.gpt-4o-mini     450      0        450 Count
northcentralus                                 gpt-4o                                     OpenAI.GlobalStandard.gpt-4o     450    450          0 Count
northcentralus                            gpt-4o-mini                                OpenAI.GlobalStandard.gpt-4o-mini    2000      0       2000 Count
northcentralus                                 gpt-4o                                   OpenAI.DataZoneStandard.gpt-4o     300      0        300 Count
northcentralus                            gpt-4o-mini                              OpenAI.DataZoneStandard.gpt-4o-mini    1000      0       1000 Count
northcentralus                                 gpt-4o                                      OpenAI.DataZoneBatch.gpt-4o   30000      0      30000 Count
northcentralus                            gpt-4o-mini                                 OpenAI.DataZoneBatch.gpt-4o-mini  100000      0     100000 Count
northcentralus                            babbage-002                                      OpenAI.Standard.babbage-002     240      0        240 Count
northcentralus                   babbage-002-finetune                             OpenAI.Standard.babbage-002-finetune     250      0        250 Count
northcentralus                 text-embedding-ada-002                           OpenAI.Standard.text-embedding-ada-002     350    350          0 Count
northcentralus                 text-embedding-ada-002                     OpenAI.GlobalStandard.text-embedding-ada-002    1000      0       1000 Count
northcentralus                            davinci-002                                      OpenAI.Standard.davinci-002     240      0        240 Count
northcentralus                   davinci-002-finetune                             OpenAI.Standard.davinci-002-finetune     250      0        250 Count
northcentralus                 text-embedding-3-small                     OpenAI.GlobalStandard.text-embedding-3-small    1000      0       1000 Count
northcentralus                 text-embedding-3-large                     OpenAI.GlobalStandard.text-embedding-3-large    1000      0       1000 Count
northcentralus                                     o1                                               OpenAI.Standard.o1      50      0         50 Count
northcentralus                                     o1                                         OpenAI.GlobalStandard.o1     500      0        500 Count
northcentralus                                o1-mini                                    OpenAI.GlobalStandard.o1-mini     500      0        500 Count
northcentralus                                     o1                                       OpenAI.DataZoneStandard.o1     100      0        100 Count
northcentralus                                o3-mini                                    OpenAI.GlobalStandard.o3-mini     500      0        500 Count
northcentralus                                     o3                                         OpenAI.GlobalStandard.o3    1000      0       1000 Count
northcentralus                                     o3                                            OpenAI.GlobalBatch.o3  100000      0     100000 Count
northcentralus                                     o3                                          OpenAI.DataZoneBatch.o3  100000      0     100000 Count
northcentralus                                o3-mini                                       OpenAI.GlobalBatch.o3-mini 1000000      0    1000000 Count
northcentralus                                o3-mini                                     OpenAI.DataZoneBatch.o3-mini  100000      0     100000 Count
northcentralus                                     o3                                       OpenAI.DataZoneStandard.o3     300      0        300 Count
northcentralus                                o3-mini                                  OpenAI.DataZoneStandard.o3-mini     200      0        200 Count
northcentralus                                o4-mini                                    OpenAI.GlobalStandard.o4-mini    1000      0       1000 Count
northcentralus                                o4-mini                                          OpenAI.Standard.o4-mini    1000      0       1000 Count
northcentralus                       o4-mini-finetune                           OpenAI.GlobalStandard.o4-mini-finetune     500      0        500 Count
northcentralus                       o4-mini-finetune                            OpenAI.DeveloperTier.o4-mini-finetune     250      0        250 Count
northcentralus                       o4-mini-finetune                                 OpenAI.Standard.o4-mini-finetune     500      0        500 Count
northcentralus                                o4-mini                                       OpenAI.GlobalBatch.o4-mini  200000      0     200000 Count
northcentralus                                o4-mini                                     OpenAI.DataZoneBatch.o4-mini   30000      0      30000 Count
northcentralus                                o4-mini                                  OpenAI.DataZoneStandard.o4-mini     300      0        300 Count
northcentralus                                 gpt4.1                                     OpenAI.GlobalStandard.gpt4.1    1000      0       1000 Count
northcentralus                                 gpt4.1                                           OpenAI.Standard.gpt4.1    1000      0       1000 Count
northcentralus                                 gpt4.1                                   OpenAI.DataZoneStandard.gpt4.1     300      0        300 Count
northcentralus                        gpt4.1-finetune                            OpenAI.GlobalStandard.gpt4.1-finetune     250      0        250 Count
northcentralus                        gpt4.1-finetune                                  OpenAI.Standard.gpt4.1-finetune     250      0        250 Count
northcentralus                        gpt4.1-finetune                             OpenAI.DeveloperTier.gpt4.1-finetune     250      0        250 Count
northcentralus                   gpt4.1-mini-finetune                       OpenAI.GlobalStandard.gpt4.1-mini-finetune     500      0        500 Count
northcentralus                   gpt4.1-mini-finetune                             OpenAI.Standard.gpt4.1-mini-finetune     500      0        500 Count
northcentralus                   gpt4.1-mini-finetune                        OpenAI.DeveloperTier.gpt4.1-mini-finetune     500      0        500 Count
northcentralus                   gpt4.1-nano-finetune                       OpenAI.GlobalStandard.gpt4.1-nano-finetune     500      0        500 Count
northcentralus                   gpt4.1-nano-finetune                             OpenAI.Standard.gpt4.1-nano-finetune     500      0        500 Count
northcentralus                   gpt4.1-nano-finetune                        OpenAI.DeveloperTier.gpt4.1-nano-finetune     500      0        500 Count
northcentralus                            gpt4.1-mini                                OpenAI.GlobalStandard.gpt4.1-mini    5000      0       5000 Count
northcentralus                            gpt4.1-mini                                      OpenAI.Standard.gpt4.1-mini    5240    240       5000 Count
northcentralus                           gpt-4.1-mini                                  OpenAI.GlobalBatch.gpt-4.1-mini 1000000      0    1000000 Count
northcentralus                            gpt4.1-mini                              OpenAI.DataZoneStandard.gpt4.1-mini    2000      0       2000 Count
northcentralus                            gpt4.1-nano                                OpenAI.GlobalStandard.gpt4.1-nano    5000      0       5000 Count
northcentralus                            gpt4.1-nano                              OpenAI.DataZoneStandard.gpt4.1-nano    2000      0       2000 Count
northcentralus                                gpt-4.1                                       OpenAI.GlobalBatch.gpt-4.1  200000      0     200000 Count
northcentralus                                gpt-4.1                                     OpenAI.DataZoneBatch.gpt-4.1   30000      0      30000 Count
northcentralus                           gpt-4.1-nano                                  OpenAI.GlobalBatch.gpt-4.1-nano  200000      0     200000 Count
northcentralus                           gpt-4.1-mini                                OpenAI.DataZoneBatch.gpt-4.1-mini  100000      0     100000 Count
northcentralus                           gpt-4.1-nano                                OpenAI.DataZoneBatch.gpt-4.1-nano   30000      0      30000 Count
